,token_idx,token_str,count
655,248, a,6
656,191,,10
657,14,",",100
658,534,"

",8
659,248, a,16
660,16,.,100
661,191,,9
662,248, a,7
663,191,,12
664,1344,amb,100
665,1635, given,13
666,254, the,48
667,2614,www,8
668,1709, grow,100
669,2614,www,8
670,191,,7
671,191,,8
672,248, a,6
673,248, a,8
674,248, a,18
675,28933, '.,7
676,79,m,29
677,10126, Special,99
678,191,,8
679,191,,15
680,2842, AN,100
681,34406,"

",10
682,1797,'ve,100
683,248, a,9
684,248, a,13
685,684, ',98
686,1375, **,100
687,248, a,16
688,191,,11
689,2614,www,8
690,534,"

",7
691,191,,7
692,188,"
",100
693,191,,9
694,2614,www,8
695,747, like,100
696,191,,6
697,534,"

",9
698,191,,11
699,191,,11
700,1911,label,100
701,33,?,100
702,191,,9
703,353, it,100
704,530,one,10
705,505,ast,35
706,51,Q,8
707,248, a,7
708,426, =,13
709,191,,9
710,11062, Hard,88
711,324, for,100
712,248, a,9
713,191,,11
714,13555, Holy,100
715,191,,11
716,4428, couldn,100
717,18,0,17
718,191,,8
719,15,-,100
720,6134, standing,100
721,534,"

",10
722,248, a,7
723,248, a,9
724,10,(,100
725,276, in,100
726,4112, heat,100
727,191,,16
728,191,,8
729,2233, mar,100
730,191,,8
731,191,,10
732,1648, including,99
733,191,,12
734,13672,quer,8
735,191,,16
736,191,,7
737,3870, brain,100
738,534,"

",7
739,65,_,63
740,191,,9
741,34406,"

",15
742,17956,ktop,18
743,191,,7
744,9252,]],8
745,191,,13
746,2728, York,24
747,248, a,6
748,671, time,100
749,2614,www,8
750,12675, mock,100
751,248, a,13
752,338, 1,78
753,34406,"

",10
754,282, to,94
755,191,,10
756,286, and,100
757,6808, Ins,81
758,248, a,6
759,5475, foreign,100
760,191,,8
761,286, and,100
762,191,,11
763,15,-,33
764,441, us,45
765,248, a,6
766,191,,13
767,13203, WE,5
768,248, a,7
769,248, a,7
770,3316, complete,100
771,191,,15
772,28933, '.,7
773,191,,11
774,8085, estate,100
775,1029,IN,38
776,789,ps,100
777,191,,11
778,191,,10
779,747, like,12
780,669, also,50
781,5604, Sam,100
782,6025, diet,100
783,191,,10
784,16,.,28
785,34406,"

",9
786,6100, Are,18
787,2614,www,100
788,191,,14
789,191,,12
790,633, your,6
791,248, a,8
792,348, as,100
793,368, you,70
794,1679, cal,37
795,3645,och,14
796,191,,19
797,191,,11
798,534,"

",10
799,191,,9
800,2614,www,7
801,9170, :),48
802,8089, Minister,98
803,28933, '.,7
804,191,,13
805,191,,9
806,8969, permission,100
807,191,,14
808,2614,www,8
809,2313,inter,22
810,747, like,100
811,276, in,100
812,248, a,7
813,26713,thick,34
814,1920, keep,100
815,534,"

",7
816,248, a,7
817,314, (,100
818,1235,fl,100
819,191,,9
820,2614,www,8
821,191,,8
822,191,,12
823,34406,"

",15
824,4163, technology,100
825,248, a,11
826,15,-,100
827,2621,"

       ",100
828,3272,bre,22
829,191,,10
830,191,,12
831,248, a,8
832,191,,10
833,34406,"

",14
834,191,,10
835,248, a,7
836,248, a,13
837,191,,11
838,191,,10
839,8374, Spe,51
840,191,,10
841,282, to,100
842,248, a,14
843,11634,quot,46
844,248, a,19
845,1162, number,100
846,191,,8
847,3157, Gu,100
848,4539, Of,100
849,157,�,100
850,2614,www,8
851,191,,17
852,248, a,19
853,1067,(),100
854,248, a,9
855,191,,12
856,191,,13
857,26842, memorable,4
858,188,"
",100
859,191,,9
860,534,"

",8
861,191,,9
862,1294, value,100
863,191,,9
864,14,",",100
865,191,,8
866,248, a,8
867,14,",",25
868,34406,"

",11
869,15990, McG,52
870,191,,8
871,248, a,14
872,2377, face,100
873,191,,10
874,1910, human,5
875,3109, step,100
876,534,"

",8
877,28933, '.,8
878,276, in,100
879,191,,7
880,34406,"

",7
881,248, a,9
882,596, they,31
883,248, a,6
884,65,_,13
885,191,,16
886,191,,10
887,248, a,11
888,1131,par,23
889,248, a,7
890,191,,11
891,248, a,15
892,191,,10
893,248, a,9
894,248, a,6
895,343, with,12
896,28933, '.,7
897,2192,):,100
898,248, a,15
899,8870, Software,74
900,28606, Mull,19
901,191,,7
902,2614,www,8
903,6332,Yeah,37
904,5318,start,12
905,274, of,100
906,2614,www,9
907,633, your,100
908,282, to,100
909,248, a,10
910,9406,acer,16
911,248, a,11
912,276, in,100
913,191,,6
914,248, a,10
915,191,,9
916,15723, LLC,42
917,14,",",100
918,191,,9
919,248, a,8
920,191,,10
921,191,,13
922,534,"

",8
923,5869, Cam,100
924,191,,9
925,267,an,6
926,191,,11
927,9694, suffering,47
928,2614,www,8
929,191,,10
930,6330,Inter,19
931,191,,10
932,524,ign,17
933,5127, shape,3
934,248, a,11
935,353, it,39
936,191,,13
937,3335, language,100
938,191,,11
939,5495, programs,6
940,2880,html,100
941,191,,7
942,191,,11
943,39,E,100
944,2192,):,100
945,248, a,7
946,248, a,10
947,248, a,6
948,191,,10
949,191,,7
950,2269, energy,100
951,191,,8
952,191,,9
953,191,,14
954,191,,11
955,20298, ctx,8
956,191,,10
957,191,,8
958,191,,10
959,34406,"

",12
960,5141,':,100
961,854,é,11
962,2614,www,8
963,834,ating,56
964,6313, Company,7
965,191,,18
966,2012,(',85
967,2243, press,100
968,191,,9
969,191,,6
970,65,_,100
971,2614,www,8
972,248, a,6
973,1390, name,100
974,248, a,8
975,327, that,11
976,191,,12
977,191,,7
